TargetName,HUGOSymbol,TargetGroup,AnalyteType,CodeClass,ProbePool,MinCount,MaxCount,MedianCount,GeomeanCount,NumberOfProbesIncluded,NumberOfProbesTotal,GeneID 
IL13,IL13,All Targets,RNA,Endogenous,01,1,1166,26,25.67939085,1,1,3596
DPP4,DPP4,All Targets,RNA,Endogenous,01,1,808,13,12.20918989,1,1,1803
ANKRD50,ANKRD50,All Targets,RNA,Endogenous,01,1,949,12.5,11.98984261,1,1,57182
AMPH,AMPH,All Targets,RNA,Endogenous,01,1,762,10,9.411307129,1,1,273
ZNHIT3,ZNHIT3,All Targets,RNA,Endogenous,01,1,841,17,16.61110847,1,1,9326
PMEPA1,PMEPA1,All Targets,RNA,Endogenous,01,1,721,12.5,13.05743957,1,1,56937
TTC19,TTC19,All Targets,RNA,Endogenous,01,1,1051,63,63.31503141,1,1,54902
CSNK1A1L,CSNK1A1L,All Targets,RNA,Endogenous,01,1,901,15,14.81614573,1,1,122011
DHRS12,DHRS12,All Targets,RNA,Endogenous,01,1,767,13.5,12.8976991,1,1,79758
CHST14,CHST14,All Targets,RNA,Endogenous,01,1,727,13.5,12.8021623,1,1,113189
SOX15,SOX15,All Targets,RNA,Endogenous,01,1,786,9.5,9.598945256,1,1,6665
NXF1,NXF1,All Targets,RNA,Endogenous,01,1,823,15,14.74227195,1,1,10482
ATAD3C,ATAD3C,All Targets,RNA,Endogenous,01,1,972,16,16.58763864,1,1,219293
GOT1L1,GOT1L1,All Targets,RNA,Endogenous,01,1,808,11,10.3286859,1,1,137362
PACRG,PACRG,All Targets,RNA,Endogenous,01,1,836,9,8.426630825,1,1,135138
PDHA2,PDHA2,All Targets,RNA,Endogenous,01,1,807,12,12.52363411,1,1,5161
MYBBP1A,MYBBP1A,All Targets,RNA,Endogenous,01,1,782,15.5,15.04487921,1,1,10514
AP1M2,AP1M2,All Targets,RNA,Endogenous,01,1,857,12,12.27547797,1,1,10053
PNPLA6,PNPLA6,All Targets,RNA,Endogenous,01,1,734,13,12.61345256,1,1,10908
OLR1,OLR1,All Targets,RNA,Endogenous,01,1,764,22,22.03873662,1,1,4973
CDC42SE1,CDC42SE1,All Targets,RNA,Endogenous,01,1,1143,25,25.30521624,1,1,56882
GRIP2,GRIP2,All Targets,RNA,Endogenous,01,1,1072,17,17.06476335,1,1,80852
SP2,SP2,All Targets,RNA,Endogenous,01,1,1066,19,18.85961369,1,1,6668
OTUB1,OTUB1,All Targets,RNA,Endogenous,01,1,796,15,15.30658006,1,1,55611
KCTD14,"NDUFC2-KCTD14,KCTD14",All Targets,RNA,Endogenous,01,1,751,12,11.76606441,1,1,65987
MOB3C,MOB3C,All Targets,RNA,Endogenous,01,1,857,14,13.79985179,1,1,148932
RASL10A,RASL10A,All Targets,RNA,Endogenous,01,1,1083,16,15.40555206,1,1,10633
CALD1,CALD1,All Targets,RNA,Endogenous,01,1,809,18,17.2783673,1,1,800
STEEP1,STEEP1,All Targets,RNA,Endogenous,01,1,742,9,9.275021819,1,1,63932
ATF3,ATF3,All Targets,RNA,Endogenous,01,1,1088,46,45.13859776,1,1,467
CPNE7,CPNE7,All Targets,RNA,Endogenous,01,1,822,18,17.1420772,1,1,27132
WDR24,WDR24,All Targets,RNA,Endogenous,01,1,785,12,11.80854602,1,1,84219
TRABD2A,TRABD2A,All Targets,RNA,Endogenous,01,1,812,14,13.08203549,1,1,129293
COPZ2,COPZ2,All Targets,RNA,Endogenous,01,1,770,11,10.42788752,1,1,51226
F9,F9,All Targets,RNA,Endogenous,01,1,856,10,10.24788177,1,1,2158
PECAM1,PECAM1,All Targets,RNA,Endogenous,01,1,899,20,19.9746241,1,1,5175
NDP,NDP,All Targets,RNA,Endogenous,01,1,869,13,12.26403366,1,1,4693
UQCR11,UQCR11,All Targets,RNA,Endogenous,01,1,891,21,20.04068796,1,1,10975
NKX2-6,NKX2-6,All Targets,RNA,Endogenous,01,1,870,13,12.89172067,1,1,137814
SHANK1,SHANK1,All Targets,RNA,Endogenous,01,1,800,13,13.13091731,1,1,50944
GABRA5,GABRA5,All Targets,RNA,Endogenous,01,1,655,9,9.074086199,1,1,2558
CHP2,CHP2,All Targets,RNA,Endogenous,01,1,711,10,9.082501465,1,1,63928
HOXA7,HOXA7,All Targets,RNA,Endogenous,01,1,816,11,10.68560891,1,1,3204
FAM214B,FAM214B,All Targets,RNA,Endogenous,01,1,736,12,12.34426083,1,1,80256
CCDC163,CCDC163,All Targets,RNA,Endogenous,01,1,898,14,13.10900551,1,1,126661
NIPSNAP3A,NIPSNAP3A,All Targets,RNA,Endogenous,01,1,1207,13,13.43113203,1,1,25934
HAUS7,HAUS7,All Targets,RNA,Endogenous,01,1,738,10,9.663952957,1,1,55559
MRFAP1,MRFAP1,All Targets,RNA,Endogenous,01,1,791,21,20.68247073,1,1,93621
LEO1,LEO1,All Targets,RNA,Endogenous,01,1,789,11,10.16544705,1,1,123169
ENAM,ENAM,All Targets,RNA,Endogenous,01,1,836,10,9.533123356,1,1,10117
SATL1,SATL1,All Targets,RNA,Endogenous,01,1,902,14,13.66124898,1,1,340562
IGF1,IGF1,All Targets,RNA,Endogenous,01,1,658,16,15.51590567,1,1,3479
BDKRB1,BDKRB1,All Targets,RNA,Endogenous,01,1,784,15,13.8571562,1,1,623
CACNA1G,CACNA1G,All Targets,RNA,Endogenous,01,1,910,11,10.7283777,1,1,8913
OR6A2,OR6A2,All Targets,RNA,Endogenous,01,1,932,13,13.09174466,1,1,8590
ZNF24,ZNF24,All Targets,RNA,Endogenous,01,1,743,10,10.29690376,1,1,7572
SRI,SRI,All Targets,RNA,Endogenous,01,1,818,19,17.58032499,1,1,6717
ATP6V0E1,ATP6V0E1,All Targets,RNA,Endogenous,01,1,904,25,26.18958665,1,1,8992
ELOC,ELOC,All Targets,RNA,Endogenous,01,1,917,32,33.14456638,1,1,6921
LAPTM4B,LAPTM4B,All Targets,RNA,Endogenous,01,1,1061,21,21.36342007,1,1,55353
ZNF276,ZNF276,All Targets,RNA,Endogenous,01,1,752,15.5,15.29281007,1,1,92822
BAIAP3,BAIAP3,All Targets,RNA,Endogenous,01,1,877,15,14.87819115,1,1,8938
SLC8A3,SLC8A3,All Targets,RNA,Endogenous,01,1,676,12,11.86015173,1,1,6547
BLVRB,BLVRB,All Targets,RNA,Endogenous,01,1,696,13,12.5230522,1,1,645
GALNTL5,GALNTL5,All Targets,RNA,Endogenous,01,1,917,28.5,28.16507041,1,1,168391
RAPGEF2,RAPGEF2,All Targets,RNA,Endogenous,01,1,912,16,15.46633916,1,1,9693
CENPE,CENPE,All Targets,RNA,Endogenous,01,1,653,9.5,8.979565198,1,1,1062
EXOC1L,EXOC1L,All Targets,RNA,Endogenous,01,1,1150,21,19.98328506,1,1,644145
RBM11,RBM11,All Targets,RNA,Endogenous,01,1,873,11,11.09757636,1,1,54033
NDRG4,NDRG4,All Targets,RNA,Endogenous,01,1,853,11,10.47788566,1,1,65009
RRAGB,RRAGB,All Targets,RNA,Endogenous,01,1,767,11,11.31329475,1,1,10325
TMCC2,TMCC2,All Targets,RNA,Endogenous,01,1,716,15,15.35624751,1,1,9911
MST1R,MST1R,All Targets,RNA,Endogenous,01,1,833,9,8.311868534,1,1,4486
BZW1,BZW1,All Targets,RNA,Endogenous,01,1,783,17,17.26479049,1,1,9689
NOL10,NOL10,All Targets,RNA,Endogenous,01,1,875,12,11.75676543,1,1,79954
NAT2,NAT2,All Targets,RNA,Endogenous,01,1,747,10,9.567093252,1,1,10
UGT2B10,UGT2B10,All Targets,RNA,Endogenous,01,1,986,13.5,13.53061129,1,1,7365
RSPRY1,RSPRY1,All Targets,RNA,Endogenous,01,1,802,13,12.79889179,1,1,89970
OR52K2,OR52K2,All Targets,RNA,Endogenous,01,1,774,13,12.69418606,1,1,119774
F3,F3,All Targets,RNA,Endogenous,01,1,865,13,12.87860655,1,1,2152
FBXO7,FBXO7,All Targets,RNA,Endogenous,01,1,627,14,13.10184757,1,1,25793
RTN3,RTN3,All Targets,RNA,Endogenous,01,1,846,27,27.44895256,1,1,10313
SMIM21,SMIM21,All Targets,RNA,Endogenous,01,1,711,10.5,10.08794887,1,1,284274
APMAP,APMAP,All Targets,RNA,Endogenous,01,1,893,45,46.72246246,1,1,57136
KLHL5,KLHL5,All Targets,RNA,Endogenous,01,1,880,16,15.87002754,1,1,51088
KLHL34,KLHL34,All Targets,RNA,Endogenous,01,1,770,14,13.66506496,1,1,257240
MGAM2,MGAM2,All Targets,RNA,Endogenous,01,1,1091,11,11.0895391,1,1,93432
NAB2,NAB2,All Targets,RNA,Endogenous,01,1,626,12,11.14848543,1,1,4665
NYNRIN,NYNRIN,All Targets,RNA,Endogenous,01,1,713,9,8.906304758,1,1,57523
SYNJ2BP,SYNJ2BP,All Targets,RNA,Endogenous,01,1,691,10,9.260404267,1,1,55333
KRTAP21-2,KRTAP21-2,All Targets,RNA,Endogenous,01,1,771,10,10.95601536,1,1,337978
MPC1,MPC1,All Targets,RNA,Endogenous,01,1,842,13,12.25368302,1,1,51660
CTSZ,CTSZ,All Targets,RNA,Endogenous,01,1,1824,65.5,69.51750658,1,1,1522
CBX6,CBX6,All Targets,RNA,Endogenous,01,1,1093,24,24.5563512,1,1,23466
MPHOSPH9,MPHOSPH9,All Targets,RNA,Endogenous,01,1,1199,18,16.94928895,1,1,10198
ZNF343,ZNF343,All Targets,RNA,Endogenous,01,1,841,13,13.98211194,1,1,79175
UFD1,UFD1,All Targets,RNA,Endogenous,01,1,731,31,30.17222036,1,1,7353
OR14A2,OR14A2,All Targets,RNA,Endogenous,01,1,841,14,13.14611806,1,1,388761
ATP6AP1L,ATP6AP1L,All Targets,RNA,Endogenous,01,1,813,20,19.1333683,1,1,92270
CABIN1,CABIN1,All Targets,RNA,Endogenous,01,1,909,17,16.84365943,1,1,23523
ERMN,ERMN,All Targets,RNA,Endogenous,01,1,910,16,15.1709426,1,1,57471
LCE3D,LCE3D,All Targets,RNA,Endogenous,01,1,777,13,12.8180294,1,1,84648
FLT3,FLT3,All Targets,RNA,Endogenous,01,1,838,10,9.324347523,1,1,2322
EZR,EZR,All Targets,RNA,Endogenous,01,1,859,30,29.32706941,1,1,7430
MRPL15,MRPL15,All Targets,RNA,Endogenous,01,1,842,13,13.47649895,1,1,29088
DIP2B,DIP2B,All Targets,RNA,Endogenous,01,1,981,15,15.80338434,1,1,57609
OR4C13,OR4C13,All Targets,RNA,Endogenous,01,1,807,21,21.42624023,1,1,283092
MARCHF9,MARCHF9,All Targets,RNA,Endogenous,01,1,820,10,10.28728365,1,1,92979
RAB24,RAB24,All Targets,RNA,Endogenous,01,1,963,14,13.34209218,1,1,53917
SULF2,SULF2,All Targets,RNA,Endogenous,01,1,726,12,11.86890286,1,1,55959
TMEM132B,TMEM132B,All Targets,RNA,Endogenous,01,1,1041,16.5,17.28670327,1,1,114795
LPL,LPL,All Targets,RNA,Endogenous,01,1,909,13,13.0099709,1,1,4023
SELENOK,SELENOK,All Targets,RNA,Endogenous,01,1,916,14,13.25321895,1,1,58515
TUBGCP3,TUBGCP3,All Targets,RNA,Endogenous,01,1,979,16,15.57080281,1,1,10426
GALNT13,GALNT13,All Targets,RNA,Endogenous,01,1,778,11,10.1237709,1,1,114805
EIF2S1,EIF2S1,All Targets,RNA,Endogenous,01,1,969,14,13.92772457,1,1,1965
GLO1,GLO1,All Targets,RNA,Endogenous,01,1,672,12,12.1335392,1,1,2739
C2orf80,C2orf80,All Targets,RNA,Endogenous,01,1,709,11,11.74746117,1,1,389073
NAT10,NAT10,All Targets,RNA,Endogenous,01,1,699,12,12.08612237,1,1,55226
MTMR11,MTMR11,All Targets,RNA,Endogenous,01,1,848,12,11.31979678,1,1,10903
RPS14,RPS14,All Targets,RNA,Endogenous,01,1,2292,101,98.08079265,1,1,6208
ST3GAL1,ST3GAL1,All Targets,RNA,Endogenous,01,1,1166,21,20.92354923,1,1,6482
RGS4,RGS4,All Targets,RNA,Endogenous,01,1,910,17,15.71752029,1,1,5999
FRMPD2,FRMPD2,All Targets,RNA,Endogenous,01,1,662,11,10.2073496,1,1,143162
SIM2,SIM2,All Targets,RNA,Endogenous,01,1,840,11,11.06621348,1,1,6493
ZNF699,ZNF699,All Targets,RNA,Endogenous,01,1,872,12,12.28260371,1,1,374879
OR2M4,OR2M4,All Targets,RNA,Endogenous,01,1,771,12,11.8543039,1,1,26245
GPR65,GPR65,All Targets,RNA,Endogenous,01,1,939,15,14.13350008,1,1,8477
PWP1,PWP1,All Targets,RNA,Endogenous,01,1,829,14,13.3287933,1,1,11137
RBM27,RBM27,All Targets,RNA,Endogenous,01,1,905,13,12.31715889,1,1,54439
ETFBKMT,ETFBKMT,All Targets,RNA,Endogenous,01,1,821,10,9.303429338,1,1,254013
EXOC6,EXOC6,All Targets,RNA,Endogenous,01,1,761,12,12.19443293,1,1,54536
BEST1,BEST1,All Targets,RNA,Endogenous,01,1,1010,22,21.79300236,1,1,7439
SRMS,SRMS,All Targets,RNA,Endogenous,01,1,700,13,12.70708697,1,1,6725
SGO2,SGO2,All Targets,RNA,Endogenous,01,1,949,12,11.38239431,1,1,151246
ZNF503,ZNF503,All Targets,RNA,Endogenous,01,1,883,15,14.42706035,1,1,84858
DOCK1,DOCK1,All Targets,RNA,Endogenous,01,1,941,12,12.30150686,1,1,1793
TPPP2,TPPP2,All Targets,RNA,Endogenous,01,1,911,14,13.87832802,1,1,122664
FOLR1,FOLR1,All Targets,RNA,Endogenous,01,1,1086,18,17.31283691,1,1,2348
TSPAN5,TSPAN5,All Targets,RNA,Endogenous,01,1,816,12.5,12.34188158,1,1,10098
LMLN,LMLN,All Targets,RNA,Endogenous,01,1,773,10,9.123502374,1,1,89782
ROBO3,ROBO3,All Targets,RNA,Endogenous,01,1,733,8,8.035129914,1,1,64221
MARCHF1,MARCHF1,All Targets,RNA,Endogenous,01,1,845,13,12.3966068,1,1,55016
SUPT7L,SUPT7L,All Targets,RNA,Endogenous,01,1,4338,255.5,257.2646191,1,1,9913
NDUFS6,NDUFS6,All Targets,RNA,Endogenous,01,1,1050,34,33.0935241,1,1,4726
ZNF415,ZNF415,All Targets,RNA,Endogenous,01,1,1036,20.5,20.34708036,1,1,55786
METTL15,METTL15,All Targets,RNA,Endogenous,01,1,872,25,24.72960112,1,1,196074
ITGAX,ITGAX,All Targets,RNA,Endogenous,01,1,727,28,26.01749102,1,1,3687
CES3,CES3,All Targets,RNA,Endogenous,01,1,1173,12,11.95714577,1,1,23491
CDC42SE2,CDC42SE2,All Targets,RNA,Endogenous,01,1,902,22,20.7248404,1,1,56990
ARPC5L,ARPC5L,All Targets,RNA,Endogenous,01,1,983,17,18.2230483,1,1,81873
USP19,USP19,All Targets,RNA,Endogenous,01,1,703,16,15.63509891,1,1,10869
FAM153B,"FAM153A,FAM153B",All Targets,RNA,Endogenous,01,1,755,25.5,25.743724,1,1,202134
TMEM18,TMEM18,All Targets,RNA,Endogenous,01,1,852,11,10.82946956,1,1,129787
KRT18,KRT18,All Targets,RNA,Endogenous,01,1,1123,58,59.29138658,1,1,3875
ZFPL1,ZFPL1,All Targets,RNA,Endogenous,01,1,733,9,9.267998388,1,1,7542
JOSD1,JOSD1,All Targets,RNA,Endogenous,01,1,788,15,13.68751581,1,1,9929
GKAP1,GKAP1,All Targets,RNA,Endogenous,01,1,788,18,18.014059,1,1,80318
CALR3,CALR3,All Targets,RNA,Endogenous,01,1,850,12,11.83736261,1,1,125972
VCAM1,VCAM1,All Targets,RNA,Endogenous,01,1,952,21.5,22.17504211,1,1,7412
AFF3,AFF3,All Targets,RNA,Endogenous,01,1,789,13.5,13.12520692,1,1,3899
STX1B,STX1B,All Targets,RNA,Endogenous,01,1,1036,70.5,71.48897761,1,1,112755
KCNF1,KCNF1,All Targets,RNA,Endogenous,01,1,713,14,14.03398706,1,1,3754
FAM204A,FAM204A,All Targets,RNA,Endogenous,01,1,997,27,28.48288261,1,1,63877
GRB7,GRB7,All Targets,RNA,Endogenous,01,1,802,12,11.82069135,1,1,2886
RBBP4,RBBP4,All Targets,RNA,Endogenous,01,1,901,21,20.52703387,1,1,5928
CPN2,CPN2,All Targets,RNA,Endogenous,01,1,884,12,11.60655928,1,1,1370
TET2,TET2,All Targets,RNA,Endogenous,01,1,811,12,11.14382294,1,1,54790
PIK3C2A,PIK3C2A,All Targets,RNA,Endogenous,01,1,867,17,16.66378559,1,1,5286
GUSB,GUSB,All Targets,RNA,Endogenous,01,1,957,16,16.94463904,1,1,2990
HGD,HGD,All Targets,RNA,Endogenous,01,1,1001,16,15.25403308,1,1,3081
EBF2,EBF2,All Targets,RNA,Endogenous,01,1,796,8.5,8.353688476,1,1,64641
MTMR2,MTMR2,All Targets,RNA,Endogenous,01,1,887,13,13.48473991,1,1,8898
ZFY,ZFY,All Targets,RNA,Endogenous,01,1,752,9,8.408363634,1,1,7544
TRAIP,TRAIP,All Targets,RNA,Endogenous,01,1,668,7,6.745646123,1,1,10293
SST,SST,All Targets,RNA,Endogenous,01,1,1013,17,17.06392938,1,1,6750
FAM114A1,FAM114A1,All Targets,RNA,Endogenous,01,1,728,11,11.19736783,1,1,92689
NDUFB8,NDUFB8,All Targets,RNA,Endogenous,01,1,958,26.5,26.09783831,1,1,4714
RPL29,RPL29,All Targets,RNA,Endogenous,01,1,1248,53.5,56.20356075,1,1,6159
DXO,DXO,All Targets,RNA,Endogenous,01,1,906,16,16.1079469,1,1,1797
RAB19,RAB19,All Targets,RNA,Endogenous,01,1,1007,21,21.26750456,1,1,401409
RTP5,RTP5,All Targets,RNA,Endogenous,01,1,743,19,18.90733716,1,1,285093
TASOR2,TASOR2,All Targets,RNA,Endogenous,01,1,1477,177,168.298113,1,1,54906
CD244,CD244,All Targets,RNA,Endogenous,01,1,752,8,8.244907219,1,1,51744
LPA,LPA,All Targets,RNA,Endogenous,01,1,940,12,12.29002779,1,1,4018
SEPTIN5,"SEPTIN5,SEPT5-GP1BB",All Targets,RNA,Endogenous,01,1,821,20,20.3894088,1,1,5413
SCGB1D1,SCGB1D1,All Targets,RNA,Endogenous,01,1,1025,28.5,28.75855951,1,1,10648
TRIM5,TRIM5,All Targets,RNA,Endogenous,01,1,836,15,15.01997663,1,1,85363
DUSP6,DUSP6,All Targets,RNA,Endogenous,01,1,842,21,19.94204937,1,1,1848
ZNF365,ZNF365,All Targets,RNA,Endogenous,01,1,804,14,14.13731939,1,1,22891
ZNF852,ZNF852,All Targets,RNA,Endogenous,01,1,715,18,18.2588067,1,1,285346
SSX4B,"SSX6P,SSX4,SSX4B",All Targets,RNA,Endogenous,01,1,882,17,16.04748027,1,1,548313
TMEM209,TMEM209,All Targets,RNA,Endogenous,01,1,831,25,25.72571298,1,1,84928
GPR88,GPR88,All Targets,RNA,Endogenous,01,1,770,9,8.591893059,1,1,54112
SPOUT1,SPOUT1,All Targets,RNA,Endogenous,01,1,984,16,15.87904341,1,1,51490
DCTN3,DCTN3,All Targets,RNA,Endogenous,01,1,788,11,11.06251642,1,1,11258
IGFN1,IGFN1,All Targets,RNA,Endogenous,01,1,843,13,12.18508949,1,1,91156
PRMT3,PRMT3,All Targets,RNA,Endogenous,01,1,886,11,10.28416,1,1,10196
WFDC10B,WFDC10B,All Targets,RNA,Endogenous,01,1,916,16,15.62909293,1,1,280664
LRIG2,LRIG2,All Targets,RNA,Endogenous,01,1,947,14,13.3938378,1,1,9860
MKNK2,MKNK2,All Targets,RNA,Endogenous,01,1,853,27,26.13165674,1,1,2872
ST8SIA2,ST8SIA2,All Targets,RNA,Endogenous,01,1,755,14,13.59603514,1,1,8128
CEP85,CEP85,All Targets,RNA,Endogenous,01,1,860,15,14.70645477,1,1,64793
PNPO,PNPO,All Targets,RNA,Endogenous,01,1,876,14,13.84280919,1,1,55163
C9orf43,C9orf43,All Targets,RNA,Endogenous,01,1,953,16,14.73698763,1,1,257169
HSPB8,HSPB8,All Targets,RNA,Endogenous,01,1,861,16,15.47673471,1,1,26353
ZMYM3,ZMYM3,All Targets,RNA,Endogenous,01,1,903,15,14.98905674,1,1,9203
CFAP300,CFAP300,All Targets,RNA,Endogenous,01,1,647,9,8.122942602,1,1,85016
KCNA2,KCNA2,All Targets,RNA,Endogenous,01,1,887,12.5,12.42802101,1,1,3737
DNAAF2,DNAAF2,All Targets,RNA,Endogenous,01,1,727,10,10.22183877,1,1,55172
SLC24A2,SLC24A2,All Targets,RNA,Endogenous,01,1,865,11,11.02093535,1,1,25769
PDE2A,PDE2A,All Targets,RNA,Endogenous,01,1,789,13.5,12.63525844,1,1,5138
TPRG1L,TPRG1L,All Targets,RNA,Endogenous,01,1,945,17,15.85285149,1,1,127262
MAD1L1,MAD1L1,All Targets,RNA,Endogenous,01,1,845,13,13.14431245,1,1,8379
SHISA2,SHISA2,All Targets,RNA,Endogenous,01,1,1067,13,12.83239893,1,1,387914
SELPLG,SELPLG,All Targets,RNA,Endogenous,01,1,889,15,14.48502576,1,1,6404
PSAT1,PSAT1,All Targets,RNA,Endogenous,01,1,854,18,19.12723319,1,1,29968
PMS1,PMS1,All Targets,RNA,Endogenous,01,1,793,13,12.43861829,1,1,5378
HLCS,HLCS,All Targets,RNA,Endogenous,01,1,770,14,13.2077217,1,1,3141
TNFRSF12A,TNFRSF12A,All Targets,RNA,Endogenous,01,1,761,17,16.09111665,1,1,51330
PRND,PRND,All Targets,RNA,Endogenous,01,1,893,17,16.08071855,1,1,23627
CARD10,CARD10,All Targets,RNA,Endogenous,01,1,747,14,14.19866205,1,1,29775
ATP2A2,ATP2A2,All Targets,RNA,Endogenous,01,1,990,22,20.62247579,1,1,488
BGN,BGN,All Targets,RNA,Endogenous,01,1,557,17.5,17.21770492,1,1,633
VSIG10L2,VSIG10L2,All Targets,RNA,Endogenous,01,1,853,14,14.39228541,1,1,338667
LCE6A,LCE6A,All Targets,RNA,Endogenous,01,1,790,12,11.06138209,1,1,448835
NDUFC1,NDUFC1,All Targets,RNA,Endogenous,01,1,1019,21,19.79289972,1,1,4717
MRPL36,MRPL36,All Targets,RNA,Endogenous,01,1,846,17,17.8687616,1,1,64979
QSOX1,QSOX1,All Targets,RNA,Endogenous,01,1,733,17,15.84007241,1,1,5768
GK,"GK,GK3P",All Targets,RNA,Endogenous,01,1,837,17,17.58191703,1,1,2710
TNN,TNN,All Targets,RNA,Endogenous,01,1,744,11.5,11.03858683,1,1,63923
MYO5A,MYO5A,All Targets,RNA,Endogenous,01,1,800,15,15.03984241,1,1,4644
OSR2,OSR2,All Targets,RNA,Endogenous,01,1,842,13,12.0536398,1,1,116039
DCP2,DCP2,All Targets,RNA,Endogenous,01,1,1093,18,18.21500597,1,1,167227
FBN3,FBN3,All Targets,RNA,Endogenous,01,1,817,18,18.02169363,1,1,84467
MAP4K2,MAP4K2,All Targets,RNA,Endogenous,01,1,818,17,17.02513568,1,1,5871
JAK2,JAK2,All Targets,RNA,Endogenous,01,1,913,11,9.916975793,1,1,3717
LAMA5,LAMA5,All Targets,RNA,Endogenous,01,1,862,19,18.64533129,1,1,3911
CARMIL2,CARMIL2,All Targets,RNA,Endogenous,01,1,1139,15,14.56765488,1,1,146206
C2orf81,C2orf81,All Targets,RNA,Endogenous,01,1,1432,23,22.22200698,1,1,388963
REXO2,REXO2,All Targets,RNA,Endogenous,01,1,789,16,15.08099884,1,1,25996
B4GALT3,B4GALT3,All Targets,RNA,Endogenous,01,1,847,16,16.1626479,1,1,8703
CD47,CD47,All Targets,RNA,Endogenous,01,1,823,23,22.67275146,1,1,961
YPEL1,YPEL1,All Targets,RNA,Endogenous,01,1,931,21,20.64459935,1,1,29799
KIRREL1,KIRREL1,All Targets,RNA,Endogenous,01,1,951,16,16.42955374,1,1,55243
CRYZL1,CRYZL1,All Targets,RNA,Endogenous,01,1,983,18,18.48951607,1,1,9946
AOC1,AOC1,All Targets,RNA,Endogenous,01,1,809,14,13.76565681,1,1,26
IQCG,IQCG,All Targets,RNA,Endogenous,01,1,765,10.5,10.40644086,1,1,84223
NR2E3,NR2E3,All Targets,RNA,Endogenous,01,1,990,10,9.416291778,1,1,10002
USP36,USP36,All Targets,RNA,Endogenous,01,1,727,12,11.19307698,1,1,57602
DDHD2,DDHD2,All Targets,RNA,Endogenous,01,1,881,20.5,20.61195612,1,1,23259
OR4F15,OR4F15,All Targets,RNA,Endogenous,01,1,742,16.5,17.35501096,1,1,390649
KBTBD7,KBTBD7,All Targets,RNA,Endogenous,01,1,949,13,11.91784053,1,1,84078
NDST1,NDST1,All Targets,RNA,Endogenous,01,1,905,22,21.18409488,1,1,3340
RAB41,RAB41,All Targets,RNA,Endogenous,01,1,698,8,7.849145592,1,1,347517
TMEM156,TMEM156,All Targets,RNA,Endogenous,01,1,967,17,16.52961467,1,1,80008
PARD6G,PARD6G,All Targets,RNA,Endogenous,01,1,784,12,12.11821002,1,1,84552
TIAF1,TIAF1,All Targets,RNA,Endogenous,01,1,1038,15,14.57949972,1,1,9220
RNF6,RNF6,All Targets,RNA,Endogenous,01,1,663,11,11.16486493,1,1,6049
SI,SI,All Targets,RNA,Endogenous,01,1,901,11,10.60778241,1,1,6476
ADAT2,ADAT2,All Targets,RNA,Endogenous,01,1,1094,16,15.51205625,1,1,134637
AP1G1,AP1G1,All Targets,RNA,Endogenous,01,1,615,13,12.49636577,1,1,164
SATB2,SATB2,All Targets,RNA,Endogenous,01,1,798,16,15.99693955,1,1,23314
PSMD3,PSMD3,All Targets,RNA,Endogenous,01,1,1284,23,22.51165391,1,1,5709
E2F4,E2F4,All Targets,RNA,Endogenous,01,1,935,18,19.12216938,1,1,1874
MYH9,MYH9,All Targets,RNA,Endogenous,01,1,1953,106.5,110.9556603,1,1,4627
SMR3A,SMR3A,All Targets,RNA,Endogenous,01,1,915,15.5,15.5581843,1,1,26952
ZBTB40,ZBTB40,All Targets,RNA,Endogenous,01,1,1043,15,14.69042903,1,1,9923
AMER1,AMER1,All Targets,RNA,Endogenous,01,1,952,15,14.3031181,1,1,139285
MCMBP,MCMBP,All Targets,RNA,Endogenous,01,1,714,12,11.112164,1,1,79892
MMP3,MMP3,All Targets,RNA,Endogenous,01,1,1378,19.5,19.26214512,1,1,4314
IVL,IVL,All Targets,RNA,Endogenous,01,1,1018,13.5,13.33867152,1,1,3713
MARS2,MARS2,All Targets,RNA,Endogenous,01,1,766,11,10.4115179,1,1,92935
NR4A3,NR4A3,All Targets,RNA,Endogenous,01,1,967,20,20.47623734,1,1,8013
CEP78,CEP78,All Targets,RNA,Endogenous,01,1,797,14,13.55083678,1,1,84131
STAMBPL1,STAMBPL1,All Targets,RNA,Endogenous,01,1,753,14,15.54571504,1,1,57559
APOH,APOH,All Targets,RNA,Endogenous,01,1,945,14,14.008418,1,1,350
TMEM26,TMEM26,All Targets,RNA,Endogenous,01,1,1231,23.5,23.91417591,1,1,219623
MAP2K5,MAP2K5,All Targets,RNA,Endogenous,01,1,681,26,26.58216432,1,1,5607
FXR2,FXR2,All Targets,RNA,Endogenous,01,1,971,24,23.39758724,1,1,9513
PGD,PGD,All Targets,RNA,Endogenous,01,1,911,24.5,25.47410038,1,1,5226
TAF11,TAF11,All Targets,RNA,Endogenous,01,1,788,14,14.30616679,1,1,6882
RFPL3,"RFPL1,RFPL3",All Targets,RNA,Endogenous,01,1,1105,18,18.32637984,1,1,10738
VPS25,VPS25,All Targets,RNA,Endogenous,01,1,906,18,17.87868998,1,1,84313
NRXN1,NRXN1,All Targets,RNA,Endogenous,01,1,2472,12,11.01549708,1,1,9378
ZNF366,ZNF366,All Targets,RNA,Endogenous,01,1,828,15,14.98125398,1,1,167465
RTN4RL2,RTN4RL2,All Targets,RNA,Endogenous,01,1,940,19,19.19983399,1,1,349667
